beach_id,beach_name,state,county,reasons,indicators,sources,no_of_beach_actions,no_of_days_under_action,closure,rain_advisory,contamination_advisory
CT901374,PLEASURE BEACH-BRIDGEPORT,CT,FAIRFIELD,RAINFALL,PREEMPTORY ACTION,STORM,1,2,1,0,0
CT914597,ROCK STREET BEACH,CT,NEW HAVEN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,5,0,0,2
CT921236,LONG BEACH (PROPER),CT,FAIRFIELD,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,3,7,3,0,0
CT927883,PEAR TREE POINT BEACH,CT,FAIRFIELD,RAINFALL,PREEMPTORY ACTION,STORM,5,7,5,0,0
CT952269,WEED BEACH,CT,FAIRFIELD,RAINFALL,PREEMPTORY ACTION,STORM,5,7,5,0,0
CT964700,HAMMONASSET BEACH STATE PARK BEACH,CT,NEW HAVEN,ELEVATED BACTERIA,ENTEROCOCCI,WILDLIFE,1,2,1,0,0
CT992639,WEST BEACH,CT,FAIRFIELD,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION","UNKNOWN, STORM",12,19,12,0,0
CT996337,TOWN BEACH (OLD SAYBROOK),CT,MIDDLESEX,ELEVATED BACTERIA,ENTEROCOCCI,STORM,2,4,2,0,0
DE133781,Rehoboth-Rehoboth Ave Beach,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE156816,Dewey Beach-Dagsworthy,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE177694,South Bethany Beach,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE481609,Fenwick Island State Park Beach,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE770315,Dewey Beach-Swedes,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE772723,Lewes Beach North,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE772724,Lewes Beach South,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
DE785659,Slaughter Beach,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,4,0,0,4
DE955133,Broadkill Beach,DE,SUSSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
FL001972,BOCA GRANDE,FL,CHARLOTTE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,8,0,0,1
FL058417,JOHN PENNEKAMP STATE PARK,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,21,0,0,1
FL082227,SANIBEL CAUSEWAY BEACH,FL,LEE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
FL102343,GOLDEN BEACH,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,13,0,0,2
FL117765,LINCOLN PARK,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,83,0,0,5
FL125792,KEY BISCAYNE BEACH,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,11,0,0,2
FL131708,DUPONT BRIDGE,FL,BAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,8,55,0,0,8
FL138730,SOUTH BEACH,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,102,0,0,5
FL141600,CYPRESS POINT PARK NORTH,FL,HILLSBOROUGH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,9,65,0,0,9
FL147445,BRASHER PARK BEACH,FL,PASCO,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,21,0,0,2
FL156952,VILANO BEACH,FL,ST. JOHNS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL158390,PALM ISLAND SOUTH,FL,CHARLOTTE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
FL159008,SOUTH LIDO BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL164618,REDINGTON SHORES - 182nd AVE,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL173861,BEN T. DAVIS NORTH,FL,HILLSBOROUGH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,8,117,0,0,8
FL186633,SANDERS BEACH,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,11,113,0,0,11
FL187399,BAHIA HONDA OCEANSIDE,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,14,0,0,1
FL192551,SERVICE CLUB BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
FL193553,CRANDON PARK North -KEY BISCAYNE,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,26,0,0,5
FL194507,CASPERSEN PUBLIC BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,6,0,0,3
FL197589,PINE ISLAND BEACH,FL,HERNANDO,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,33,0,0,5
FL200499,ROBERT J. STRICKLAND BEACH,FL,PASCO,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,221,0,0,5
FL209722,Bird Key Park A.K.A Ringling Causeway,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,15,0,0,3
FL210748,SIMMONS PARK BEACH,FL,HILLSBOROUGH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,14,97,0,0,14
FL223233,EASTERN LAKE DUNE WALKOVER,FL,WALTON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,25,0,0,4
FL239001,Inlet Beach Access,FL,WALTON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,13,0,0,2
FL242074,COLLINS PARK-21ST STREET,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,9,0,0,2
FL242624,FORT DESOTO NORTH BEACH,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,8,0,0,2
FL247505,Clement E. Taylor Park,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,72,0,0,5
FL256042,SIESTA KEY PUBLIC BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
FL257350,DENOR-WIGGINS STATE PARK,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL258263,MAIN STREET,FL,VOLUSIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,6,0,0,2
FL259969,BAREFOOT BEACH STATE RESERVE,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL278288,SANDOWAY PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
FL286828,DUBOIS PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,24,0,0,6
FL287753,HALLANDALE BEACH BLVD,FL,BROWARD,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
FL294978,SEBASTIAN STREET,FL,BROWARD,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,16,0,0,1
FL309173,BEACH DRIVE,FL,BAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,10,89,0,0,10
FL311193,CARL GRAY PARK,FL,BAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,38,0,0,4
FL316827,ROBERT K. REES PARK BEACH,FL,PASCO,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,79,0,0,4
FL321918,PASS-A-GRILLE BEACH,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL328004,NAPLES PIER,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,3,0,0,2
FL329130,HAULOVER BEACH,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
FL331275,JETTY PARK BEACH,FL,ST. LUCIE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,14,0,0,1
FL337795,MARLER PARK,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,58,0,0,4
FL345451,SOUTH INLET PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,2,0,0,2
FL352535,JUPITER BEACH PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,7,13,0,0,7
FL363707,LIDO CASINO BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,7,0,0,2
FL368024,RIVIERA MUNICIPAL BEACH,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,15,0,0,2
FL408126,PICNIC ISLAND NORTH,FL,HILLSBOROUGH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,15,118,0,0,15
FL412379,QUIETWATER BEACH,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,7,0,0,2
FL415346,SURFSIDE BEACH - 93RD STREET,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,12,0,0,2
FL416804,VENICE PUBLIC BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
FL430522,NORTH SHORE OCEAN TERRACE,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,15,0,0,3
FL435018,GRAYTON BEACH,FL,WALTON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,31,0,0,4
FL436692,POMPANO BEACH PIER,FL,BROWARD,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
FL437199,SHELL POINT BEACH,FL,WAKULLA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,5,0,0,1
FL448536,PARKSHORE BEACH,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL451040,SAND KEY,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL460387,BAHIA BEACH,FL,HILLSBOROUGH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,7,50,0,0,7
FL464579,NORTH LIDO BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL468110,Crandon Park - South,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,31,0,0,3
FL474715,STUART CAUSEWAY,FL,MARTIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,76,0,0,1
FL477664,LAKE WORTH BEACH,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,9,0,0,2
FL478499,Emeralde Promenade,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,93,0,0,5
FL484299,HOLLY STREET BEACH ACCESS,FL,WALTON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,13,0,0,2
FL487294,Sweetwater Shores,FL,GULF,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,13,0,0,1
FL487489,53RD STREET - MIAMI BEACH,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,7,0,0,2
FL500531,BLUE MOUNTAIN BEACH ACCESS,FL,WALTON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,20,0,0,3
FL506871,BROHARD BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,5,0,0,2
FL513943,LITTLE HICKORY BEACH PARK,FL,LEE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
FL538902,FREDERICK DOUGLASS MEMORIAL PARK,FL,ST. LUCIE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL539127,POQUITO PARK,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,71,0,0,4
FL557056,SOUTH CAUSEWAY at Boat Ramp,FL,ST. LUCIE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,29,0,0,1
FL558068,ROOSEVELT BRIDGE,FL,MARTIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,20,0,0,1
FL575421,MADEIRA BEACH,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL587733,LIZA JACKSON PARK,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,8,235,0,0,8
FL596846,PALMA SOLA SOUTH,FL,MANATEE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,37,0,0,3
FL596960,LONGBOAT KEY ACCESS,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,11,0,0,3
FL602631,GULF HARBORS BEACH,FL,PASCO,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,22,0,0,3
FL607825,Panama City Beach (PCB) Access 11,FL,BAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,43,0,0,4
FL613557,Cape Palms Public Access,FL,GULF,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,11,0,0,1
FL633080,CLAM PASS,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL637470,PALM BEACH,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,5,0,0,3
FL638107,OCEAN INLET PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,20,0,0,5
FL645810,DUNE ALLEN BEACH ACCESS,FL,WALTON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,19,0,0,3
FL652920,PHIL FOSTER PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,11,0,0,5
FL662113,DAVIS ISLAND BEACH,FL,HILLSBOROUGH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,14,100,0,0,14
FL668421,TARPON BAY BEACH,FL,LEE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
FL687721,FOUNDER'S PARK BEACH,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,32,0,0,3
FL704083,PORT CHARLOTTE BEACH WEST,FL,CHARLOTTE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,5,0,0,1
FL726184,SOMBRERO BEACH,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,33,0,0,2
FL732168,MINNESOTA STREET,FL,BROWARD,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,14,0,0,1
FL732971,CARLIN PARK,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
FL743759,WALTON ROCKS BEACH,FL,ST. LUCIE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL752331,GARNIERS,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,70,0,0,4
FL767236,JAMES LEE PARK BEACH,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,29,0,0,2
FL767859,SOUTH BEACH PARK,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL770421,SILVER BEACH,FL,VOLUSIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL772326,VENICE FISHING PIER,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,10,0,0,5
FL785378,PERDIDO KEY STATE PARK,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
FL789000,Bayou Texar,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,26,269,0,0,26
FL797743,NOKOMIS PUBLIC BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
FL798162,Sunny Isles Beach - Samson Park,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,11,0,0,2
FL817993,SMATHERS BEACH,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
FL818380,CAPE CORAL YACHT CLUB,FL,LEE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,5,0,0,1
FL819911,DELWOOD BEACH,FL,BAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,21,0,0,2
FL822161,Dog Beach,FL,MIAMI-DADE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
FL838326,TURTLE BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
FL845492,MANASOTA KEY BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,7,0,0,2
FL845915,NORTH JETTY PARK BEACH,FL,SARASOTA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
FL853013,JAYCEE PARK,FL,ST. LUCIE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,16,0,0,2
FL854179,BAY FRONT PARK NORTH,FL,MANATEE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,16,0,0,2
FL858156,27TH STREET,FL,VOLUSIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL862330,HENDERSON STATE PARK BEACH,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,73,0,0,4
FL869739,BAYOU CHICO,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,10,310,0,0,10
FL888728,RICK SELTZER PARK,FL,BAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,13,0,0,1
FL889594,SPANISH RIVER,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,5,0,0,3
FL918883,BRACKIN WAYSIDE PARK,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,51,0,0,3
FL918942,ANCLOTE RIVER PARK BEACH,FL,PASCO,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,64,0,0,4
FL931344,RESIDENCE BEACH,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL933023,SOUTH MARCO BEACH Access,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL937233,BAYOU GRANDE,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,252,0,0,6
FL955172,HARRY HARRIS COUNTY PARK,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,14,0,0,1
FL955720,INDIAN ROCKS BEACH,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL963834,HIGGS BEACH,FL,MONROE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,64,0,0,4
FL967234,VANDERBILT BEACH,FL,COLLIER,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
FL986946,ROCKY BAYOU STATE PARK,FL,OKALOOSA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,7,112,0,0,7
FL988248,BIG LAGOON STATE PARK,FL,ESCAMBIA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,11,0,0,2
FL989880,CLEARWATER BEACH - MANDALAY PARK,FL,PINELLAS,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
FL996489,BOYNTON BEACH MUNICIPAL,FL,PALM BEACH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,14,0,0,4
GA136053,TYBEE ISLAND POLK ST.,GA,CHATHAM,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,16,0,0,3
GA144943,JEKYLL DRIFTWOOD BEACH,GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
GA154978,12 ST. GOULDS INLET (SSI),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
GA202139,SOUTH DUNES (JEKYLL),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
GA216208,ST. ANDREWS PICNIC AREA (JEKYLL),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,729,0,0,2
GA339359,CONVENTION CENTER (JEKYLL),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
GA431870,EAST BEACH OLD COAST GUARD (SSI),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,7,13,0,0,7
GA583441,KINGS FERRY,GA,CHATHAM,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,729,0,0,2
GA613921,MASSENGALE (SSI),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,5,0,0,3
GA688687,JEKYLL CLAM CREEK,GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,729,0,0,2
GA776618,ST. SIMONS  ISLAND LIGHTHOUSE,GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,8,21,0,0,8
GA881548,TYBEE ISLAND SOUTH,GA,CHATHAM,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
GA895834,4H CAMP (JEKYLL),GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
GA958433,BLYTHE ISLAND REGIONAL PARK SANDBAR,GA,GLYNN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
GA994539,SKIDAWAY NARROWS,GA,CHATHAM,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
HI013290,Kahalu'u Beach Co. Pk.,HI,HAWAII,"RAINFALL, SEWAGE",PREEMPTORY ACTION,"STORM, PUBLICLY-OWNED TREATMENT WORKS",6,46,0,5,1
HI045715,Fort DeRussy Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,9,44,0,9,0
HI058731,Ma'alaea Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,19,146,0,19,0
HI071892,Kalama Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,16,95,0,16,0
HI097179,Kama'ole Beach 2 (Ili'iliholo Beach),HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,17,132,0,17,0
HI107517,Ka Lae (South Point),HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,5,25,0,5,0
HI109657,Waiale'e,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,14,78,0,14,0
HI114962,Kawakiu Bay (Nui),HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,3,17,0,3,0
HI118874,Wai'anapanapa State Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,16,133,0,16,0
HI119207,Kikiaola Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,18,168,0,18,0
HI120357,Mau'umae Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,6,48,0,6,0
HI122881,Kapoho Tidepools (Vacationland),HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,12,138,0,12,0
HI124511,Ke'e Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,13,135,0,13,0
HI124561,Ninole,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,5,25,0,5,0
HI126591,Hulopo'e Beach Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,3,17,0,3,0
HI130639,Papa'a Bay,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,12,109,0,12,0
HI132946,Halona Blowhole,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,8,41,0,8,0
HI136430,Pepeiaolepo Bay,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,16,133,0,16,0
HI137325,Malaekahana Bay,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,13,91,0,13,0
HI138086,Hakalau Co. Pk.,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,13,248,0,13,0
HI138494,Murphy Beach Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,3,17,0,3,0
HI143737,Ohai'ula Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,6,48,0,6,0
HI145110,Aukai Beach Co. Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,9,44,0,9,0
HI147212,Makao Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,14,97,0,14,0
HI147970,Koke'e Beach Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,10,50,0,10,0
HI148836,Punalu'u Beach Co. Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,24,200,0,24,0
HI151343,Swanzy Beach Co. Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,14,100,0,14,0
HI152572,Ho'okena,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,5,25,0,5,0
HI156238,Beach House Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,11,93,0,11,0
HI157026,Niu,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,11,66,0,11,0
HI157533,Pu'u ola'i (Small Beach),HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,15,118,0,15,0
HI160433,Kahana,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,20,179,0,20,0
HI166521,Brennecke Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,9,83,0,9,0
HI167153,Puamana Beach Co. Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,16,129,0,16,0
HI169380,Wahikuli State Wayside Park,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,16,129,0,16,0
HI173325,Kahala Hilton Beach,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,9,44,0,9,0
HI176480,Pacific Missile Range Facility,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,11,93,0,11,0
HI176594,Nu'u Bay,HI,HAWAII,RAINFALL,PREEMPTORY ACTION,STORM,16,133,0,16,0
